name,type,country,region,grapes,description,food,alcohol,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates
каберне совиньон,🍷 Красное сухое,Франция (Бордо),Медок,Каберне Совиньон,"Классическое бордо. Мощные танины, ноты черной смородины, кедра и табака.","📌 Стейк, ягненок, выдержанные сыры",13.5,8.2,0.4,0.3,2.2,0.07,25,70,0.997,3.4,0.7
мерло,🍷 Красное сухое,Франция (Бордо),Помроль,Мерло,"Мягкое, с тонами вишни, шоколада и сливы. Бархатистые танины.","📌 Паста, утка, грибы, камамбер",13.0,7.8,0.45,0.25,2.5,0.065,22,65,0.996,3.5,0.65
пино нуар,🍷 Красное сухое,Франция (Бургундия),Кот де Нюи,Пино Нуар,"Элегантное, с ароматами красных ягод, розы и трюфелей. Шелковистое.","📌 Лосось, утка, ризотто с грибами",12.5,7.2,0.35,0.2,1.8,0.06,18,55,0.995,3.3,0.6
шираз,🍷 Красное сухое,Австралия,Долина Баросса,Шираз,"Насыщенное, пряное, с нотами ежевики, черного перца и шоколада.","📌 Барбекю, стейки, острые блюда",14.0,8.5,0.5,0.35,2.0,0.08,28,75,0.998,3.5,0.75
шардоне,🥂 Белое сухое,Франция (Бургундия),Шабли,Шардоне,"От легких цитрусовых (Шабли) до насыщенных с нотами ванили и масла (Мерсо).","📌 Рыба, морепродукты, паста с белым соусом",13.0,7.0,0.25,0.4,3.5,0.04,28,85,0.994,3.2,0.55
совиньон блан,🥂 Белое сухое,Франция (Луара),Сансер,Совиньон Блан,"Свежее, травянистое, с нотами крыжовника, цитрусов и минералов.","📌 Устрицы, козий сыр, спаржа",12.0,7.5,0.2,0.45,2.8,0.035,25,80,0.993,3.1,0.5
рислинг,🥂 Белое полусухое,Германия,Мозель,Рислинг,"Ароматное, с тонами яблока, груши, меда и минералов. Высокая кислотность.","📌 Азиатская кухня, свинина, десерты",10.5,8.0,0.2,0.4,8.0,0.03,22,75,0.998,3.0,0.45
шампанское,🍾 Игристое,Франция (Шампань),Реймс,Пино Нуар+Шардоне,"Изысканное, с нотами бриоши, цитрусов и зеленого яблока.","📌 Устрицы, икра, легкие закуски, торжества",12.0,7.5,0.2,0.3,6.0,0.035,20,65,0.997,3.1,0.45
просекко,🍾 Игристое,Италия (Венето),Конельяно,Глера,"Легкое, фруктовое, с нотами зеленого яблока, груши и цветов.","📌 Закуски, десерты, аперитив",11.0,6.9,0.2,0.25,8.0,0.03,18,60,0.996,3.2,0.4
мальбек,🍷 Красное сухое,Аргентина,Мендоса,Мальбек,"Бархатистое, с тонами сливы, фиалки, какао и ежевики.","📌 Мясо на гриле, стейки, пицца",13.5,8.0,0.4,0.3,2.3,0.07,24,68,0.997,3.4,0.7
каберне фран,🍷 Красное сухое,Франция (Луара),Шинон,Каберне Фран,"Ароматное, с тонами малины, фиалки и зеленого перца. Легче Каберне Совиньона.","📌 Овощи на гриле, козьи сыры, телятина",12.5,7.5,0.4,0.3,2.0,0.06,20,60,0.996,3.4,0.6
гаме,🍷 Красное сухое,Франция (Божоле),Божоле,Гаме,"Легкое, фруктовое, с тонами вишни, клубники и банана. Очень низкие танины.","📌 Холодные закуски, пицца, салаты, колбасы",12.0,7.0,0.3,0.25,2.0,0.05,15,45,0.995,3.4,0.5
неббиоло,🍷 Красное сухое,Италия (Пьемонт),Бароло,Неббиоло,"Великое итальянское. Ароматы розы, смолы, вишни и табака. Мощные танины.","📌 Трюфели, выдержанные сыры, дичь",14.0,8.5,0.5,0.3,1.8,0.06,25,70,0.998,3.3,0.7
санджовезе,🍷 Красное сухое,Италия (Тоскана),Кьянти,Санджовезе,"Яркая кислотность, тона вишни, сушеных трав и фиалки.","📌 Паста, пицца, томатные соусы",13.5,8.0,0.45,0.3,2.0,0.06,22,65,0.997,3.3,0.65
барбера,🍷 Красное сухое,Италия (Пьемонт),Асти,Барбера,"Сочное, с низкими танинами, высокой кислотностью, тонами вишни и специй.","📌 Паста, пицца, мясные блюда, колбасы",13.0,8.0,0.4,0.3,2.5,0.06,20,60,0.996,3.3,0.6
амароне,🍷 Красное сухое,Италия (Венето),Вальполичелла,Корвина,"Мощное, концентрированное из подсушенного винограда. Ноты джема, шоколада.","📌 Дичь, выдержанные сыры, шоколадные десерты",15.0,8.0,0.6,0.3,3.0,0.07,25,70,0.999,3.4,0.75
темпранильо,🍷 Красное сухое,Испания (Риоха),Риоха,Темпранильо,"Ноты кожи, табака, вишни, кокоса и ванили (от выдержки в американском дубе).","📌 Хамон, мясо на гриле, паэлья",13.5,7.8,0.5,0.25,2.2,0.06,22,65,0.997,3.4,0.65
гарнача,🍷 Красное сухое,Испания (Каталония),Приорат,Гарнача,"Насыщенное, высокоалкогольное, с тонами клубничного джема и пряностей.","📌 Острые блюда, барбекю, выдержанные сыры",14.5,7.5,0.5,0.3,2.5,0.06,20,60,0.998,3.5,0.7
примитиво,🍷 Красное сухое,Италия/США,Апулия/Калифорния,Примитиво,"Высокий алкоголь, тона ежевичного джема, специй и черного перца.","📌 Барбекю, острые блюда, пицца",14.5,7.8,0.5,0.3,3.0,0.07,22,65,0.998,3.5,0.7
пинотаж,🍷 Красное сухое,ЮАР,Стелленбош,Пинотаж,"Уникальный южноафриканский сорт. Ноты банана, кофе, копченостей и ежевики.","📌 Барбекю, мясо на гриле",13.5,7.8,0.5,0.3,2.5,0.07,22,65,0.997,3.4,0.7
красностоп,🍷 Красное сухое,Россия,Кубань/Крым,Красностоп Золотовский,"Аборигенный сорт. Терпкое, с тонами вишневого варенья и черной смородины.","📌 Шашлык, мясо по-кавказски, сыры",13.0,8.0,0.5,0.3,2.5,0.07,22,65,0.997,3.4,0.7
саперави,🍷 Красное сухое,Грузия/Россия,Кахетия/Крым,Саперави,"Глубокий цвет, тона вишни, черной смородины и пряностей. Богато танинами.","📌 Шашлык, хинкали, овощи на гриле",12.5,8.2,0.5,0.3,2.5,0.07,22,65,0.997,3.3,0.7
пино гриджио,🥂 Белое сухое,Италия (Трентино),Альто-Адидже,Пино Гриджио,"Легкое, освежающее, с нотами зеленого яблока, груши и миндаля.","📌 Закуски, легкие салаты, морепродукты, ризотто",12.0,6.8,0.22,0.35,2.5,0.035,24,78,0.993,3.2,0.5
гарганега,🥂 Белое сухое,Италия (Венето),Соаве,Гарганега,"Ноты зеленого яблока, миндаля, цитрусов и минералов.","📌 Ризотто, рыба, морепродукты",12.0,7.0,0.2,0.3,2.5,0.04,22,70,0.994,3.2,0.5
вердиккио,🥂 Белое сухое,Италия (Марке),Кастелли ди Ези,Вердиккио,"Структурированное, с нотами цитрусов, миндаля и морской минеральностью.","📌 Рыбный суп, морепродукты, белое мясо",13.0,7.2,0.22,0.3,2.2,0.04,22,70,0.995,3.2,0.55
гевюрцтраминер,🥂 Белое полусухое,Франция/Германия,Эльзас/Пфальц,Гевюрцтраминер,"Пряное, ароматное, с нотами розы, личи, специй и экзотических фруктов.","📌 Острая азиатская кухня, сыры с плесенью, фуа-гра",13.0,6.5,0.2,0.3,7.0,0.035,20,70,0.998,3.2,0.5
совиньон блан мальборо,🥂 Белое сухое,Новая Зеландия,Мальборо,Совиньон Блан,"Эталон. Взрывные ноты маракуйи, крыжовника, цитрусов и трав.","📌 Устрицы, морепродукты, козий сыр",12.5,8.0,0.2,0.5,2.5,0.035,25,80,0.994,3.1,0.5
шардоне калифорния,🥂 Белое сухое,США (Калифорния),Напа/Сонома,Шардоне,"Насыщенное, маслянистое, с нотами ванили, дуба, масла и тропических фруктов.","📌 Лобстер, рыба в сливочном соусе, курица",14.0,6.5,0.25,0.3,4.0,0.04,25,80,0.996,3.4,0.55
ркацители,🥂 Белое сухое,Грузия/Россия,Кахетия/Крым,Ркацители,"Легкое, с нотами зеленого яблока, цитрусов и полевых трав.","📌 Рыба, овощи, легкие закуски, сыры",11.5,7.5,0.2,0.3,2.5,0.04,20,60,0.994,3.2,0.45
кокур,🥂 Белое сухое,Россия (Крым),Солнечная Долина,Кокур,"Крымский автохтон. Ноты груши, айвы, полевых трав и южных фруктов.","📌 Рыба, морепродукты, блюда крымско-татарской кухни",12.0,7.2,0.22,0.3,3.0,0.04,20,60,0.995,3.2,0.5
кава,🍾 Игристое,Испания (Каталония),Пенедес,Макабео+Парельяда,"Испанское игристое, создаваемое методом шампенуа. Ноты цитрусов и трав.","📌 Тапас, морепродукты, паэлья, хамон",11.5,7.2,0.2,0.25,7.0,0.03,18,60,0.996,3.2,0.4
асти,🍾 Игристое сладкое,Италия (Пьемонт),Асти,Москато Бьянко,"Сладкое, с нотами персика, абрикоса, меда и муската. Низкий алкоголь.","📌 Десерты, фрукты, выпечка, мороженое",7.5,7.0,0.2,0.3,25.0,0.03,15,50,1.008,3.1,0.4
шампанское розовое,🍾 Игристое розовое,Франция (Шампань),Шампань,Пино Нуар+Шардоне,"Элегантное розовое с нотами красных ягод (клубника, малина) и бриоши.","📌 Красная рыба, ягоды, легкие десерты",12.0,7.5,0.2,0.35,7.0,0.035,20,65,0.997,3.1,0.45
розе прованс,🌸 Розовое сухое,Франция (Прованс),Кот де Прованс,Гренаш+Сенсо,"Эталон сухого розе. Бледно-лососевый цвет, ноты клубники и цитрусов.","📌 Легкие салаты, морепродукты, овощи на гриле, пикники",12.0,7.2,0.2,0.3,2.5,0.04,18,55,0.995,3.2,0.45
вальполичелла,🌸 Розовое сухое,Италия (Венето),Вальполичелла,Корвина,"Итальянское розе с нотами вишни, малины и цветов. Освежающее.","📌 Паста, пицца, легкие закуски, салаты",12.0,7.0,0.22,0.3,2.5,0.04,18,55,0.995,3.2,0.45
сотерн,🍯 Десертное белое,Франция (Бордо),Сотерн,Семильон,"Легендарное десертное из ботритизированного винограда. Ноты меда, абрикоса и цукатов.","📌 Фуа-гра, голубые сыры, десерты",13.5,7.8,0.3,0.4,35.0,0.035,25,80,1.015,3.3,0.5
порто,🍯 Крепленое красное,Португалия,Дору,Турига Насьональ,"Крепленое вино. Ноты ежевичного джема, шоколада и орехов. Бывает Ruby и Tawny.","📌 Выдержанные сыры, шоколадные десерты, орехи, сигары",20.0,6.5,0.6,0.2,45.0,0.04,20,60,1.025,3.4,0.5
